Seq,Year,DateOfCollection,Julian,DayNo,Longitude,Sample_ID,Population_Code,Family,Replicate,Region,Latitude,Longitude,Elev_m,SeedArea,SeedWidth_mm,Seed_length_mm,SeedShapeIndex,Dispersal_length_mm,Dispersal_and_seed_mm,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD<0,DD>5,DD<18,DD>18,NFFD,bFFP,sqrtSeedArea,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D,,,,,,,,,,,,,,
1,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-5,AB-BNF1,5,,Prairie,51.19369444,-115.5530556,1400,2.286,1.007,2.786,2.766633565,44.611,47.397,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.51195238,1.003493896,1.669131511,6.679146652,6.884547915,1.663320043,0.0091,0.0048,0.0043,,,,,,,,,,,,,,
2,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-5,AB-BNF1,5,,Prairie,51.19369444,-115.5530556,1400,1.933,0.891,2.284,2.563411897,39.394,41.678,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.390323703,0.943927963,1.511290839,6.276463973,6.45585006,1.601065863,0.0091,0.0048,0.0043,,,,,,,,,,,,,,
3,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-5,AB-BNF1,5,,Prairie,51.19369444,-115.5530556,1400,2.091,1.41,2.88,2.042553191,44.138,47.018,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.446029045,1.187434209,1.697056275,6.643643579,6.85696726,1.429179202,0.0091,0.0048,0.0043,,,,,,,,,,,,,,
4,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-5,AB-BNF1,5,,Prairie,51.19369444,-115.5530556,1400,2.303,0.877,2.7,3.078677309,46.017,48.717,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.517563837,0.936482781,1.643167673,6.783583124,6.979756443,1.754616,0.0091,0.0048,0.0043,,,,,,,,,,,,,,
5,2002,7/29/2002,2452485,209,-115.5530556,AB-BNF1-5,AB-BNF1,5,,Prairie,51.19369444,-115.5530556,1400,2.236,1.185,2.461,2.076793249,43.331,45.792,0.6,14,-9.9,23.8,41,36,NA,NA,1393,804,6327,10,105,189,1.495326051,1.088577053,1.56875747,6.582628654,6.766978646,1.44110834,0.0091,0.0048,0.0043,,,,,,,,,,,,,,
6,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-1,MAN-FOX1,1,,Alvar,45.89666667,-82.57738889,176,2.201,1.211,3.053,2.521056978,45.636,48.689,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.483576759,1.100454452,1.747283606,6.755442251,6.977750354,1.587783669,0.0092,0.0045,0.0047,,,,,,,,,,,,,,
7,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-1,MAN-FOX1,1,,Alvar,45.89666667,-82.57738889,176,2.446,0.83,2.663,3.208433735,40.418,43.081,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.563969309,0.911043358,1.631870093,6.357515238,6.563611811,1.791210131,0.0092,0.0045,0.0047,,,,,,,,,,,,,,
8,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-1,MAN-FOX1,1,,Alvar,45.89666667,-82.57738889,176,1.954,0.936,3.104,3.316239316,46.528,49.632,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.3978555,0.96747093,1.761817244,6.821143599,7.044998226,1.821054452,0.0092,0.0045,0.0047,,,,,,,,,,,,,,
9,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-1,MAN-FOX1,1,,Alvar,45.89666667,-82.57738889,176,2.032,1.022,2.89,2.82778865,56.179,59.069,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.425482374,1.010940156,1.7,7.495265172,7.685635953,1.681603,0.0092,0.0045,0.0047,,,,,,,,,,,,,,
10,2002,6/24/2002,2452450,174,-82.58230556,MAN-FOX1-1,MAN-FOX1,1,,Alvar,45.89666667,-82.57738889,176,2.728,1.116,2.987,2.676523297,57.93,60.917,4.2,18.9,-4.4,23.3,857,398,16.6,47.4,937,1505,5112,98,114,143,1.651665826,1.056409012,1.728293956,7.611175993,7.804934337,1.636008343,0.0092,0.0045,0.0047,,,,,,,,,,,,,,
11,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-5,CAR-1-2,5,1,Alvar,44.68383333,-79.05655556,266,2.356,1.135,2.833,2.496035242,60.364,63.197,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.534926708,1.065363788,1.683151805,7.769427263,7.949654081,1.579884566,0.0091,0.0044,0.0047,,,,,,,,,,,,,,
12,2002,6/4/2002,2452430,154,-79.05655556,CAR-1-2-5,CAR-1-2,5,2,Alvar,44.68383333,-79.05655556,266,1.995,1.047,2.925,2.793696275,61.395,64.32,3,18,-14,32,989,466,13.1,38.8,1430,1526,5519,73,159,143,1.412444689,1.023230179,1.710263138,7.835496155,8.019975062,1.671435394,0.0091,0.0044,0.0047,,,,,,,,,,,,,,
