Seq,Year,Region,myVar,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D
1,2002,Prairie,1.51195238,1.003493896,1.669131511,6.679146652,6.884547915,1.663320043,0.0091,0.0048,0.0043
2,2002,Prairie,1.390323703,0.943927963,1.511290839,6.276463973,6.45585006,1.601065863,0.0091,0.0048,0.0043
3,2002,Prairie,1.446029045,1.187434209,1.697056275,6.643643579,6.85696726,1.429179202,0.0091,0.0048,0.0043
4,2002,Prairie,1.517563837,0.936482781,1.643167673,6.783583124,6.979756443,1.754616,0.0091,0.0048,0.0043
5,2002,Prairie,1.495326051,1.088577053,1.56875747,6.582628654,6.766978646,1.44110834,0.0091,0.0048,0.0043
6,2002,Alvar,1.483576759,1.100454452,1.747283606,6.755442251,6.977750354,1.587783669,0.0092,0.0045,0.0047
7,2002,Alvar,1.563969309,0.911043358,1.631870093,6.357515238,6.563611811,1.791210131,0.0092,0.0045,0.0047
8,2002,Alvar,1.3978555,0.96747093,1.761817244,6.821143599,7.044998226,1.821054452,0.0092,0.0045,0.0047
9,2002,Alvar,1.425482374,1.010940156,1.7,7.495265172,7.685635953,1.681603,0.0092,0.0045,0.0047
10,2002,Alvar,1.651665826,1.056409012,1.728293956,7.611175993,7.804934337,1.636008343,0.0092,0.0045,0.0047
11,2002,Alvar,1.534926708,1.065363788,1.683151805,7.769427263,7.949654081,1.579884566,0.0091,0.0044,0.0047
12,2002,Alvar,1.412444689,1.023230179,1.710263138,7.835496155,8.019975062,1.671435394,0.0091,0.0044,0.0047
13,2002,Alvar,1.521512405,1.050238068,1.662828915,7.756996842,7.933221288,1.583287604,0.0091,0.0044,0.0047
14,2002,Alvar,1.549516053,1.019803903,1.806377591,8.092156696,8.291320763,1.771298958,0.0091,0.0044,0.0047
15,2002,Alvar,1.464240417,0.992975327,1.643167673,8.287158741,8.44849099,1.654792046,0.0091,0.0044,0.0047
16,2002,Alvar,1.659216683,1.167904106,1.91546339,7.248034216,7.496866012,1.640086186,0.0081,0.0044,0.0037
17,2002,Alvar,1.878030884,1.108151614,1.956271965,7.592628004,7.840599467,1.765346853,0.0081,0.0044,0.0037
18,2002,Alvar,1.964179218,0.814861951,1.954993606,4.433283208,4.845203814,2.399171544,0.0081,0.0044,0.0037
19,2002,Alvar,1.762668432,1.220245877,1.575436447,6.418644717,6.60916031,1.291081148,0.0081,0.0044,0.0037
20,2002,Alvar,1.776231967,1.264120247,1.865475811,6.430085536,6.695222177,1.475710728,0.0081,0.0044,0.0037
21,2002,Alvar,1.628496239,0.992975327,1.684933233,7.00392747,7.203749024,1.696853071,0.0075,0.0043,0.0032
22,2002,Alvar,1.523811012,0.933273808,1.689674525,6.543852077,6.75847616,1.81048103,0.0075,0.0043,0.0032
23,2002,Alvar,1.625423022,0.8336666,1.772286659,6.661381238,6.893112505,2.125893803,0.0075,0.0043,0.0032
24,2002,Alvar,1.667633053,1.084435337,1.682260384,7.275919186,7.467864487,1.551277727,0.0075,0.0043,0.0032
25,2002,Alvar,1.718720454,1.030533842,1.745279347,7.159678764,7.369328328,1.693568203,0.0075,0.0043,0.0032
26,2002,Alvar,1.46867287,0.961249187,1.804438971,6.978825116,7.208328516,1.877181271,0.0074,0.0043,0.0031
27,2002,Alvar,1.758124,1.04019229,1.816590212,6.551641016,6.798823428,1.746398459,0.0074,0.0043,0.0031
28,2002,Alvar,1.71464282,1.111305539,1.78325545,7.037684278,7.260096418,1.604649116,0.0074,0.0043,0.0031
29,2002,Alvar,1.67660371,1.023718711,1.90446843,6.889194438,7.147587005,1.86034348,0.0074,0.0043,0.0031
30,2002,Alvar,1.816039647,1.133137238,1.933649399,7.037044834,7.297876403,1.706456495,0.0074,0.0043,0.0031
31,2002,Alvar,1.225153052,0.879772698,1.478512766,6.06069303,6.238429289,1.680562229,0.0084,0.0041,0.0043
32,2002,Alvar,1.552739515,1.126055061,1.751285242,7.292873234,7.500199997,1.55523944,0.0084,0.0041,0.0043
33,2002,Alvar,1.796106901,1.161895004,1.651363073,7.162611256,7.350510186,1.42126704,0.0084,0.0041,0.0043
34,2002,Alvar,1.251399217,0.784219357,1.628496239,5.83669427,6.05962045,2.076582558,0.0084,0.0041,0.0043
35,2002,Alvar,1.492648653,1.063954886,1.64408029,7.891070903,8.060521075,1.545253761,0.0084,0.0041,0.0043
36,2002,Prairie,1.511621646,0.97313925,1.863330352,6.699179054,6.953488333,1.914762303,0.0081,0.0041,0.004
37,2002,Prairie,1.439444337,0.968504001,1.811077028,6.282117477,6.537966045,1.869973718,0.0081,0.0041,0.004
38,2002,Prairie,1.496662955,0.988433103,1.831119876,6.255557529,6.518051856,1.852548108,0.0081,0.0041,0.004
39,2002,Prairie,1.377679208,0.933273808,1.725108692,6.300079365,6.531998163,1.848448631,0.0081,0.0041,0.004
40,2002,Prairie,1.486606875,0.933273808,1.752712184,6.33845407,6.57632116,1.878025687,0.0081,0.0041,0.004
41,2002,Alvar,1.773978579,1.049761878,1.762384748,7.741705239,7.939773297,1.678842398,0.008,0.0041,0.0039
42,2002,Alvar,1.607793519,1.070046728,1.600624878,7.926285385,8.086284685,1.495845776,0.008,0.0041,0.0039
43,2002,Alvar,1.525450753,1.076104084,1.794157184,8.337205767,8.528071294,1.667271048,0.008,0.0041,0.0039
44,2002,Alvar,1.549516053,1.028105053,1.702057578,7.79012195,7.973894908,1.655528852,0.008,0.0041,0.0039
45,2002,Alvar,1.498332406,1.033440855,1.813835715,7.982167625,8.18565819,1.755142258,0.008,0.0041,0.0039
46,2002,Alvar,1.508641773,0.903327183,1.822635454,5.994497477,6.265460877,2.017691362,0.004,0.004,0.0026
47,2002,Alvar,1.367113748,0.793725393,1.708800749,6.091305279,6.326452402,2.152886582,0.004,0.004,0.0026
48,2002,Alvar,1.010940156,0.723187389,1.638596961,5.146357935,5.400925847,2.265798582,0.004,0.004,0.0026
49,2002,Alvar,0.858487041,0.545893763,1.511290839,4.904385792,5.13195869,2.768470612,0.004,0.004,0.0026
50,2002,Alvar,0.871779789,0.709929574,1.396424004,4.991893428,5.183531615,1.966989481,0.004,0.004,0.0026
51,2002,Alvar,1.61245155,1.052140675,1.874299869,7.940088161,8.158308648,1.781415654,0.008,0.0039,0.0041
52,2002,Alvar,1.711432149,1.093617849,1.972815247,8.423122936,8.651069298,1.803934755,0.008,0.0039,0.0041
53,2002,Alvar,1.362350909,0.98386991,1.653178756,7.848057084,8.020286778,1.680281853,0.008,0.0039,0.0041
54,2002,Alvar,1.441180072,0.969020124,1.742985944,7.771808026,7.964860325,1.79870975,0.008,0.0039,0.0041
55,2002,Alvar,0.891627725,0.689927532,1.542400726,6.42744117,6.609916792,2.235598166,0.008,0.0039,0.0041
56,2002,Alvar,1.790251379,1.192057046,1.782414093,7.792239729,7.993497357,1.495242279,0.0076,0.0038,0.0038
57,2002,Alvar,1.821812285,1.122051692,1.739540169,7.725542052,7.918964579,1.550320882,0.0076,0.0038,0.0038
58,2002,Alvar,2.023363536,1.189957982,1.770310707,7.74480471,7.944557886,1.487708586,0.0076,0.0038,0.0038
59,2002,Alvar,1.839836949,1.198749348,1.762384748,7.630858405,7.831730332,1.470186199,0.0076,0.0038,0.0038
60,2002,Alvar,1.817965896,1.119821414,1.804438971,7.506197439,7.72003886,1.611363158,0.0076,0.0038,0.0038
61,2002,Alvar,1.221474519,0.936482781,1.655898548,7.582084146,7.760798928,1.768210351,0.0073,0.0038,0.0035
62,2002,Alvar,1.512613632,0.914330356,1.91102067,7.389248947,7.632365295,2.090076806,0.0073,0.0038,0.0035
63,2002,Alvar,1.550806242,0.944986772,1.796106901,6.737432745,6.972732606,1.900668828,0.0073,0.0038,0.0035
64,2002,Alvar,1.392479802,0.9544632,1.702645001,7.138137012,7.338392194,1.783877054,0.0073,0.0038,0.0035
65,2002,Alvar,1.260555433,0.929516003,1.692631088,7.252309977,7.447214244,1.820981115,0.0073,0.0038,0.0035
66,2002,Alvar,1.287633488,1.000499875,1.522497947,6.752703162,6.92221063,1.521737269,0.0063,0.0038,0.0025
67,2002,Alvar,1.389244399,1.084435337,1.525122946,6.217797038,6.402109028,1.406375183,0.0063,0.0038,0.0025
68,2002,Alvar,1.191637529,1.085357084,1.472412986,6.215947233,6.38795742,1.356616184,0.0063,0.0038,0.0025
69,2002,Alvar,1.351295675,1.008464179,1.489295135,6.846531969,7.006639708,1.476795276,0.0063,0.0038,0.0025
70,2002,Alvar,1.574801575,1.184060809,1.403923075,6.958735517,7.098943583,1.185684944,0.0063,0.0038,0.0025
71,2002,Alvar,1.353513945,1.043072385,1.533949152,7.205761584,7.367224715,1.470606618,0.0078,0.0037,0.0041
72,2002,Alvar,1.081203034,0.702851336,1.392838828,5.703595357,5.871200899,1.981697632,0.0078,0.0037,0.0041
73,2002,Alvar,1.479188967,1.020784012,1.614310999,7.263194889,7.440430095,1.581442283,0.0078,0.0037,0.0041
74,2002,Alvar,1.48526092,1.054514106,1.631870093,7.188462979,7.37136351,1.547509022,0.0078,0.0037,0.0041
75,2002,Alvar,1.354990775,1.164903429,1.591225942,7.204790073,7.378414464,1.365972408,0.0078,0.0037,0.0041
76,2002,Alvar,1.264120247,1.015874008,1.673618834,7.487055496,7.671831594,1.64746693,0.0071,0.0037,0.0034
77,2002,Alvar,1.369671493,1.076568623,1.574484042,7.320724008,7.488123931,1.462502258,0.0071,0.0037,0.0034
78,2002,Alvar,1.397139936,1.02859127,1.66403125,7.193191225,7.383156507,1.617776952,0.0071,0.0037,0.0034
79,2002,Alvar,1.262537128,1.000499875,1.525122946,7.530869804,7.683749085,1.524360956,0.0071,0.0037,0.0034
80,2002,Alvar,1.320984481,0.977241014,1.618332475,7.517246836,7.689473324,1.656021853,0.0071,0.0037,0.0034
81,2002,Alvar,1.570031847,1.037786105,1.619567844,6.93844363,7.12495614,1.56059889,0.0068,0.0037,0.0031
82,2002,Alvar,1.417744688,1.037786105,1.689674525,6.825686779,7.031713874,1.628152966,0.0068,0.0037,0.0031
83,2002,Alvar,1.36821051,1.043551628,1.648332491,7.149685308,7.337233811,1.579540913,0.0068,0.0037,0.0031
84,2002,Alvar,1.253794241,0.880908622,1.743846324,6.24899992,6.487757702,1.979599564,0.0068,0.0037,0.0031
85,2002,Alvar,1.630337388,1.158447237,1.7067513,5.928068826,6.168873479,1.473309484,0.0068,0.0037,0.0031
86,2002,Alvar,1.384196518,1.081665383,1.538505769,6.732830014,6.906373868,1.422349086,0.0066,0.0037,0.0029
87,2002,Alvar,1.268463638,1.037786105,1.550483795,6.738249031,6.91433294,1.494030213,0.0066,0.0037,0.0029
88,2002,Alvar,1.302689526,0.96695398,1.56556699,6.766830868,6.94557413,1.619070837,0.0066,0.0037,0.0029
89,2002,Alvar,1.218195387,1.011928851,1.537530488,7.201319324,7.363626824,1.519405723,0.0066,0.0037,0.0029
90,2002,Alvar,1.094074952,1.039230485,1.619876539,7.086465974,7.269250305,1.558726926,0.0066,0.0037,0.0029
91,2002,Alvar,2.007735042,1.158015544,1.855801714,7.872039126,8.087830364,1.602570642,0.0084,0.0036,0.0048
92,2002,Alvar,1.664331698,0.989949494,1.765785944,7.26739293,7.478836808,1.783713164,0.0084,0.0036,0.0048
93,2002,Alvar,1.728872465,1.132695899,1.837389452,7.985111145,8.193778127,1.622138346,0.0084,0.0036,0.0048
94,2002,Alvar,1.853645058,1.055461984,1.909188309,8.041579447,8.26510738,1.808865064,0.0084,0.0036,0.0048
