Seq,xObs,yObs
1,1.51195238,6.679146652
2,1.390323703,6.276463973
3,1.446029045,6.643643579
4,1.517563837,6.783583124
5,1.495326051,6.582628654
6,1.483576759,6.755442251
7,1.563969309,6.357515238
8,1.3978555,6.821143599
9,1.425482374,7.495265172
10,1.651665826,7.611175993
11,1.534926708,7.769427263
12,1.412444689,7.835496155
13,1.521512405,7.756996842
14,1.549516053,8.092156696
15,1.464240417,8.287158741
16,1.659216683,7.248034216
17,1.878030884,7.592628004
18,1.964179218,4.433283208
19,1.762668432,6.418644717
20,1.776231967,6.430085536
21,1.628496239,7.00392747
22,1.523811012,6.543852077
23,1.625423022,6.661381238
24,1.667633053,7.275919186
25,1.718720454,7.159678764
26,1.46867287,6.978825116
27,1.758124,6.551641016
28,1.71464282,7.037684278
29,1.67660371,6.889194438
30,1.816039647,7.037044834
31,1.225153052,6.06069303
32,1.552739515,7.292873234
33,1.796106901,7.162611256
34,1.251399217,5.83669427
35,1.492648653,7.891070903
36,1.511621646,6.699179054
37,1.439444337,6.282117477
38,1.496662955,6.255557529
39,1.377679208,6.300079365
40,1.486606875,6.33845407
41,1.773978579,7.741705239
42,1.607793519,7.926285385
43,1.525450753,8.337205767
44,1.549516053,7.79012195
45,1.498332406,7.982167625
46,1.508641773,5.994497477
47,1.367113748,6.091305279
48,1.010940156,5.146357935
49,0.858487041,4.904385792
50,0.871779789,4.991893428
51,1.61245155,7.940088161
52,1.711432149,8.423122936
53,1.362350909,7.848057084
54,1.441180072,7.771808026
55,0.891627725,6.42744117
56,1.790251379,7.792239729
57,1.821812285,7.725542052
58,2.023363536,7.74480471
59,1.839836949,7.630858405
60,1.817965896,7.506197439
61,1.221474519,7.582084146
62,1.512613632,7.389248947
63,1.550806242,6.737432745
64,1.392479802,7.138137012
65,1.260555433,7.252309977
66,1.287633488,6.752703162
67,1.389244399,6.217797038
68,1.191637529,6.215947233
69,1.351295675,6.846531969
70,1.574801575,6.958735517
71,1.353513945,7.205761584
72,1.081203034,5.703595357
73,1.479188967,7.263194889
74,1.48526092,7.188462979
75,1.354990775,7.204790073
76,1.264120247,7.487055496
77,1.369671493,7.320724008
78,1.397139936,7.193191225
79,1.262537128,7.530869804
80,1.320984481,7.517246836
81,1.570031847,6.93844363
82,1.417744688,6.825686779
83,1.36821051,7.149685308
84,1.253794241,6.24899992
85,1.630337388,5.928068826
86,1.384196518,6.732830014
87,1.268463638,6.738249031
88,1.302689526,6.766830868
89,1.218195387,7.201319324
90,1.094074952,7.086465974
91,2.007735042,7.872039126
92,1.664331698,7.26739293
93,1.728872465,7.985111145
94,1.853645058,8.041579447
95,1.699117418,8.311618374
96,1.56556699,6.814103022
97,1.328156617,6.968357052
98,1.549516053,7.165054082
99,1.460479373,7.108023635
100,1.46355731,7.465855611
101,1.622035758,7.520771237
102,1.849053812,7.36091027
103,1.762668432,7.193886293
104,1.309580085,6.617552418
105,1.857148352,7.109500686
106,1.538830725,7.710641997
107,1.37113092,8.078737525
108,1.467991826,7.571657678
109,1.250599856,7.540424391
110,1.54337293,7.626598193
